January 2, 2012; New York Times; 1374 words; Campaigns/Elections/Politics
January 2, 2012; New York Times; 1158 words; Campaigns/Elections/Politics
January 15, 2012; New York Times; 1589 words; Campaigns/Elections/Politics
January 15, 2012; New York Times; 1331 words; Campaigns/Elections/Politics
January 16, 2012; New York Times; 1038 words; Campaigns/Elections/Politics
January 18, 2012; New York Times; 1186 words; Campaigns/Elections/Politics
January 29, 2012; New York Times; 1609 words; Campaigns/Elections/Politics
February 1, 2012; New York Times; 1307 words; Campaigns/Elections/Politics
February 1, 2012; New York Times; 1329 words; Campaigns/Elections/Politics
February 12, 2012; New York Times; 1647 words; Campaigns/Elections/Politics
February 13, 2012; New York Times; 1322 words; Campaigns/Elections/Politics
February 21, 2012; New York Times; 1185 words; Campaigns/Elections/Politics
February 23, 2012; New York Times; 1207 words; Campaigns/Elections/Politics
February 26, 2012; New York Times; 1635 words; Campaigns/Elections/Politics
February 26, 2012; New York Times; 1125 words; Campaigns/Elections/Politics
February 27, 2012; New York Times; 1106 words; Campaigns/Elections/Politics
February 29, 2012; New York Times; 1241 words; Campaigns/Elections/Politics
March 2, 2012; New York Times; 1295 words; Campaigns/Elections/Politics
March 6, 2012; New York Times; 1197 words; Campaigns/Elections/Politics
March 8, 2012; New York Times; 1175 words; Campaigns/Elections/Politics
March 12, 2012; New York Times; 1235 words; Campaigns/Elections/Politics
March 14, 2012; New York Times; 1248 words; Campaigns/Elections/Politics
March 22, 2012; New York Times; 1129 words; Campaigns/Elections/Politics
March 25, 2012; New York Times; 1863 words; Campaigns/Elections/Politics
April 5, 2012; New York Times; 1116 words; Economy/Economics
April 8, 2012; New York Times; 1699 words; U.S. Foreign Affairs
April 9, 2012; New York Times; 1334 words; Campaigns/Elections/Politics
April 11, 2012; New York Times; 1364 words; Campaigns/Elections/Politics
April 13, 2012; New York Times; 1128 words; Campaigns/Elections/Politics
April 19, 2012; New York Times; 1214 words; Campaigns/Elections/Politics
April 19, 2012; New York Times; 1096 words; Campaigns/Elections/Politics
May 1, 2012; New York Times; 2015 words; Campaigns/Elections/Politics
May 6, 2012; New York Times; 1308 words; Campaigns/Elections/Politics
May 11, 2012; New York Times; 947 words; Campaigns/Elections/Politics
May 20, 2012; New York Times; 2628 words; Campaigns/Elections/Politics
January 4, 2012; Washington Post; 1369 words; Campaigns/Elections/Politics
January 8, 2012; Washington Post; 1425 words; Campaigns/Elections/Politics
January 8, 2012; Washington Post; 1614 words; Campaigns/Elections/Politics
January 10, 2012; Washington Post; 1269 words; Campaigns/Elections/Politics
January 12, 2012; Washington Post; 985 words; Business
January 16, 2012; Washington Post; 1020 words; Campaigns/Elections/Politics
January 18, 2012; Washington Post; 1127 words; Economy/Economics
January 20, 2012; Washington Post; 1260 words; Campaigns/Elections/Politics
January 20, 2012; Washington Post; 1270 words; Campaigns/Elections/Politics
January 24, 2012; Washington Post; 1437 words; Campaigns/Elections/Politics
January 24, 2012; Washington Post; 1329 words; Campaigns/Elections/Politics
January 26, 2012; Washington Post; 911 words; Campaigns/Elections/Politics
January 30, 2012; Washington Post; 1829 words; Campaigns/Elections/Politics
February 1, 2012; Washington Post; 1270 words; Campaigns/Elections/Politics
February 1, 2012; Washington Post; 887 words; Campaigns/Elections/Politics
February 5, 2012; Washington Post; 1294 words; Campaigns/Elections/Politics
February 9, 2012; Washington Post; 1067 words; Campaigns/Elections/Politics
February 13, 2012; Washington Post; 1784 words; Campaigns/Elections/Politics
February 15, 2012; Washington Post; 1318 words; Campaigns/Elections/Politics
February 17, 2012; Washington Post; 1533 words; Campaigns/Elections/Politics
February 21, 2012; Washington Post; 1063 words; Campaigns/Elections/Politics
February 23, 2012; Washington Post; 1235 words; Campaigns/Elections/Politics
February 23, 2012; Washington Post; 1241 words; Campaigns/Elections/Politics
February 27, 2012; Washington Post; 1102 words; Campaigns/Elections/Politics
February 27, 2012; Washington Post; 1367 words; Campaigns/Elections/Politics
February 29, 2012; Washington Post; 1107 words; Campaigns/Elections/Politics
February 29, 2012; Washington Post; 1096 words; Campaigns/Elections/Politics
March 4, 2012; Washington Post; 1237 words; Campaigns/Elections/Politics
March 6, 2012; Washington Post; 960 words; Campaigns/Elections/Politics
March 8, 2012; Washington Post; 890 words; Campaigns/Elections/Politics
March 14, 2012; Washington Post; 509 words; Campaigns/Elections/Politics
March 14, 2012; Washington Post; 966 words; Campaigns/Elections/Politics
March 22, 2012; Washington Post; 1201 words; Campaigns/Elections/Politics
March 28, 2012; Washington Post; 1390 words; Campaigns/Elections/Politics
March 30, 2012; Washington Post; 1455 words; U.S. Foreign Affairs
April 1, 2012; Washington Post; 1406 words; Campaigns/Elections/Politics
April 5, 2012; Washington Post; 948 words; Campaigns/Elections/Politics
April 5, 2012; Washington Post; 1156 words; Campaigns/Elections/Politics
April 11, 2012; Washington Post; 1303 words; Campaigns/Elections/Politics
April 13, 2012; Washington Post; 1209 words; Campaigns/Elections/Politics
January 17, 2012; Wall Street Journal; 1195 words; Campaigns/Elections/Politics
January 19, 2012; Wall Street Journal; 1241 words; Business
January 23, 2012; Wall Street Journal; 1115 words; Campaigns/Elections/Politics
January 31, 2012; Wall Street Journal; 980 words; Campaigns/Elections/Politics
February 2, 2012; Wall Street Journal; 1328 words; Campaigns/Elections/Politics
February 6, 2012; Wall Street Journal; 1081 words; Campaigns/Elections/Politics
February 28, 2012; Wall Street Journal; 1044 words; Campaigns/Elections/Politics
March 1, 2012; Wall Street Journal; 1107 words; Campaigns/Elections/Politics
March 5, 2012; Wall Street Journal; 1191 words; Campaigns/Elections/Politics
March 7, 2012; Wall Street Journal; 879 words; Campaigns/Elections/Politics
March 7, 2012; Wall Street Journal; 938 words; Campaigns/Elections/Politics
March 15, 2012; Wall Street Journal; 1216 words; Campaigns/Elections/Politics
March 21, 2012; Wall Street Journal; 1398 words; Campaigns/Elections/Politics
March 29, 2012; Wall Street Journal; 2272 words; Business
April 2, 2012; Wall Street Journal; 1165 words; Immigration
April 4, 2012; Wall Street Journal; 1251 words; Campaigns/Elections/Politics
January 5, 2012; USA Today; 471 words; Campaigns/Elections/Politics
January 9, 2012; USA Today; 1777 words; Campaigns/Elections/Politics
January 11, 2012; USA Today; 500 words; Campaigns/Elections/Politics
January 23, 2012; USA Today; 412 words; Campaigns/Elections/Politics
January 25, 2012; USA Today; 1419 words; Campaigns/Elections/Politics
February 8, 2012; USA Today; 461 words; Campaigns/Elections/Politics
February 20, 2012; USA Today; 1867 words; Campaigns/Elections/Politics
March 7, 2012; USA Today; 495 words; Campaigns/Elections/Politics
March 21, 2012; USA Today; 473 words; Campaigns/Elections/Politics
April 2, 2012; USA Today; 356 words; Campaigns/Elections/Politics
April 4, 2012; USA Today; 397 words; Campaigns/Elections/Politics
January 4, 2012; Los Angeles Times; 1261 words; Campaigns/Elections/Politics
January 4, 2012; Los Angeles Times; 939 words; Campaigns/Elections/Politics
January 10, 2012; Los Angeles Times; 942 words; Campaigns/Elections/Politics
January 12, 2012; Los Angeles Times; 1075 words; Campaigns/Elections/Politics
January 16, 2012; Los Angeles Times; 1016 words; Campaigns/Elections/Politics
January 18, 2012; Los Angeles Times; 921 words; Campaigns/Elections/Politics
January 22, 2012; Los Angeles Times; 1129 words; Campaigns/Elections/Politics
January 24, 2012; Los Angeles Times; 1244 words; Campaigns/Elections/Politics
January 26, 2012; Los Angeles Times; 1030 words; Campaigns/Elections/Politics
January 30, 2012; Los Angeles Times; 1105 words; Campaigns/Elections/Politics
February 1, 2012; Los Angeles Times; 1142 words; Campaigns/Elections/Politics
February 5, 2012; Los Angeles Times; 1104 words; Campaigns/Elections/Politics
February 9, 2012; Los Angeles Times; 1056 words; Campaigns/Elections/Politics
February 27, 2012; Los Angeles Times; 1118 words; Campaigns/Elections/Politics
February 29, 2012; Los Angeles Times; 1187 words; Campaigns/Elections/Politics
March 2, 2012; Los Angeles Times; 954 words; Campaigns/Elections/Politics
March 8, 2012; Los Angeles Times; 1141 words; Campaigns/Elections/Politics
March 18, 2012; Los Angeles Times; 1072 words; Campaigns/Elections/Politics
March 20, 2012; Los Angeles Times; 975 words; Campaigns/Elections/Politics
March 22, 2012; Los Angeles Times; 1112 words; Campaigns/Elections/Politics
March 26, 2012; Los Angeles Times; 1233 words; Campaigns/Elections/Politics
April 5, 2012; Los Angeles Times; 1013 words; Campaigns/Elections/Politics
April 11, 2012; Los Angeles Times; 1236 words; Campaigns/Elections/Politics
April 17, 2012; Los Angeles Times; 913 words; Campaigns/Elections/Politics
April 23, 2012; Los Angeles Times; 1232 words; Campaigns/Elections/Politics
April 25, 2012; Los Angeles Times; 884 words; Campaigns/Elections/Politics
April 29, 2012; Los Angeles Times; 1673 words; Campaigns/Elections/Politics
May 1, 2012; Los Angeles Times; 1006 words; Campaigns/Elections/Politics
May 7, 2012; Los Angeles Times; 1168 words; Campaigns/Elections/Politics
May 27, 2012; Los Angeles Times; 1744 words; Campaigns/Elections/Politics
May 29, 2012; Los Angeles Times; 1381 words; Campaigns/Elections/Politics
January 4, 2012; Denver Post; 1281 words; Campaigns/Elections/Politics
February 3, 2012; Denver Post; 933 words; Campaigns/Elections/Politics
February 7, 2012; Denver Post; 952 words; Campaigns/Elections/Politics
February 9, 2012; Denver Post; 621 words; Campaigns/Elections/Politics
February 29, 2012; Denver Post; 1777 words; Campaigns/Elections/Politics
March 6, 2012; Denver Post; 1051 words; Campaigns/Elections/Politics
March 22, 2012; Denver Post; 674 words; Campaigns/Elections/Politics
April 11, 2012; Denver Post; 969 words; Campaigns/Elections/Politics
May 1, 2012; Denver Post; 543 words; Campaigns/Elections/Politics
May 3, 2012; Denver Post; 593 words; Campaigns/Elections/Politics
May 29, 2012; Denver Post; 1042 words; Business
January 5, 2012; Houston Chronicle; 929 words; Campaigns/Elections/Politics
January 9, 2012; Houston Chronicle; 883 words; Campaigns/Elections/Politics
January 11, 2012; Houston Chronicle; 998 words; Campaigns/Elections/Politics
January 17, 2012; Houston Chronicle; 861 words; Campaigns/Elections/Politics
January 22, 2012; Houston Chronicle; 1021 words; Campaigns/Elections/Politics
January 27, 2012; Houston Chronicle; 646 words; Campaigns/Elections/Politics
March 7, 2012; Houston Chronicle; 1507 words; Campaigns/Elections/Politics
April 4, 2012; Houston Chronicle; 583 words; Campaigns/Elections/Politics
May 8, 2012; Houston Chronicle; 838 words; Campaigns/Elections/Politics
May 28, 2012; Houston Chronicle; 378 words; Campaigns/Elections/Politics
May 30, 2012; Houston Chronicle; 625 words; Campaigns/Elections/Politics
January 5, 2012; Orlando Sentinel; 883 words; Campaigns/Elections/Politics
January 13, 2012; Orlando Sentinel; 892 words; Campaigns/Elections/Politics
January 25, 2012; Orlando Sentinel; 793 words; Campaigns/Elections/Politics
January 27, 2012; Orlando Sentinel; 1299 words; Campaigns/Elections/Politics
January 31, 2012; Orlando Sentinel; 953 words; Campaigns/Elections/Politics
January 30, 2012; Traverse City Record; 867 words; Campaigns/Elections/Politics
February 5, 2012; Traverse City Record; 1252 words; Campaigns/Elections/Politics
February 8, 2012; Traverse City Record; 938 words; Campaigns/Elections/Politics
February 26, 2012; Traverse City Record; 886 words; Campaigns/Elections/Politics
February 26, 2012; Traverse City Record; 116 words; Campaigns/Elections/Politics
